Word,Category,Difficulty by Frequency,Difficulty by Letter Frequency,Related to Statistics
kodro,undefined,easy,hard,unrelated
bloom,noun.process,hard,hard,unrelated
fodda,undefined,easy,hard,unrelated
sowel,undefined,hard,hard,unrelated
beira,noun.location,easy,medium,unrelated
truck,noun.artifact,medium,hard,unrelated
carat,noun.quantity,hard,medium,unrelated
minar,undefined,hard,hard,unrelated
Aueto,undefined,medium,hard,unrelated
shaps,undefined,easy,medium,unrelated
hazel,noun.plant,hard,hard,unrelated
ansar,undefined,medium,medium,unrelated
gwely,undefined,medium,hard,unrelated
unlit,adj.all,easy,medium,unrelated
legit,undefined,medium,medium,unrelated
caoba,undefined,easy,medium,unrelated
genus,noun.cognition,easy,medium,unrelated
arist,undefined,medium,medium,unrelated
ahsan,undefined,easy,medium,unrelated
bagel,noun.food,hard,hard,unrelated
wrawl,verb.communication,hard,medium,unrelated
infix,noun.communication,medium,hard,unrelated
topia,undefined,easy,medium,unrelated
Martu,undefined,easy,hard,unrelated
reune,undefined,hard,medium,unrelated
otter,noun.substance,hard,medium,unrelated
alkyl,noun.substance,easy,hard,unrelated
cotta,undefined,medium,medium,unrelated
sotie,undefined,easy,medium,unrelated
murga,undefined,easy,hard,unrelated
spiro,undefined,easy,medium,unrelated
ither,undefined,medium,medium,unrelated
withy,noun.plant,hard,hard,unrelated
alder,noun.plant,medium,hard,unrelated
mazic,undefined,easy,hard,unrelated
naumk,undefined,medium,hard,unrelated
glack,undefined,hard,hard,unrelated
esere,undefined,medium,easy,unrelated
kinah,undefined,hard,medium,unrelated
stoke,verb.social,hard,medium,unrelated
ungka,undefined,easy,hard,unrelated
rager,undefined,hard,medium,unrelated
Vlach,undefined,easy,hard,unrelated
group,noun.Tops,easy,hard,unrelated
peter,noun.person,hard,medium,unrelated
Norse,noun.person,easy,hard,unrelated
joshi,undefined,easy,hard,unrelated
rakit,undefined,medium,medium,unrelated
stane,undefined,medium,medium,unrelated
tango,noun.act,medium,medium,unrelated
durax,undefined,easy,hard,unrelated
shiel,undefined,easy,medium,unrelated
owner,noun.person,hard,hard,unrelated
aptly,adv.all,hard,hard,unrelated
knosp,undefined,medium,hard,unrelated
caffa,undefined,hard,hard,unrelated
bases,noun.artifact,hard,medium,unrelated
grump,noun.person,easy,hard,unrelated
thoke,undefined,hard,medium,unrelated
Heidi,undefined,medium,hard,unrelated
chati,undefined,medium,medium,unrelated
Batta,undefined,medium,hard,unrelated
acold,adj.all,easy,hard,unrelated
pyxis,noun.plant,hard,hard,unrelated
Samir,undefined,medium,hard,unrelated
otary,undefined,medium,medium,unrelated
unbar,verb.contact,hard,hard,unrelated
woosh,verb.motion,easy,hard,unrelated
vasty,undefined,medium,hard,unrelated
reina,undefined,medium,medium,unrelated
havoc,noun.act,medium,hard,unrelated
zanze,undefined,easy,hard,unrelated
wrong,noun.attribute,medium,hard,unrelated
omega,noun.event,medium,hard,unrelated
Judas,noun.person,medium,hard,unrelated
butyl,noun.substance,easy,hard,unrelated
prong,noun.artifact,hard,hard,unrelated
gavel,noun.artifact,medium,hard,unrelated
slyly,adv.all,easy,medium,unrelated
cense,verb.perception,easy,medium,unrelated
Uzbek,noun.person,medium,hard,unrelated
neper,undefined,medium,medium,unrelated
tungo,undefined,easy,medium,unrelated
south,noun.location,easy,medium,unrelated
Aphis,noun.animal,easy,hard,unrelated
chopa,undefined,hard,hard,unrelated
Baubo,undefined,medium,hard,unrelated
dooli,undefined,medium,hard,unrelated
zayin,noun.communication,easy,hard,unrelated
askar,undefined,hard,medium,unrelated
abmho,undefined,medium,hard,unrelated
copen,undefined,medium,hard,unrelated
Olcha,undefined,hard,hard,unrelated
chaja,noun.animal,hard,hard,unrelated
stirk,noun.animal,easy,medium,unrelated
getup,noun.artifact,easy,hard,unrelated
Alkes,undefined,hard,hard,unrelated
tween,undefined,easy,medium,unrelated
three,noun.quantity,hard,medium,unrelated
vives,undefined,hard,hard,unrelated
